语例ID,主语(目标域),谓语(源域),目标域,目标域名称,源域,源域名称,映射方向,映射方向标签,F_field,A_level,D_number,D_abstract,I_depth,S_schema,D_processing,CC连续值,CC等级(等距法),标注覆盖,CC标注值,CC等级(五分位法)
xb_00810,中柬两国人民,亲密战友和兄弟,SC,社会,WR,战争,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00811,真理,客观事物的本质和规律在人们头脑中的正确反映,AB,抽象,SN,感知,3,抽象→抽象,0.8,0.67,0.8,0.735,0.67,0.33,0.534,0.6446,4,否,3,5
xb_00812,朝鲜人民,勤劳智慧的人民,MR,机器,HM,人体,2,具体→抽象,0.6,0.33,0.6,0.465,0.33,0.33,0.33,0.4042,3,否,2,2
xb_00813,工人和劳动者,先进分子,SC,社会,HM,人体,4,抽象→具体,0.8,0.67,0.8,0.735,0.67,0.67,0.67,0.7058,4,否,4,5
xb_00814,加拿大人民,勤劳智慧的人民,MR,机器,HM,人体,2,具体→抽象,0.6,0.33,0.6,0.465,0.33,0.33,0.33,0.4042,3,否,2,2
xb_00815,川芎,名贵药材,MR,机器,OB,物体,1,具体→具体,0.6,0.33,0.6,0.465,0.0,0.0,0.0,0.2557,2,否,2,2
xb_00816,中国人民,勤劳智慧的人民,MR,机器,HM,人体,2,具体→抽象,0.6,0.33,0.6,0.465,0.33,0.33,0.33,0.4042,3,否,2,2
xb_00817,巴基斯坦人民,勤劳智慧的人民,MR,机器,HM,人体,2,具体→抽象,0.6,0.33,0.6,0.465,0.33,0.33,0.33,0.4042,3,否,2,2
xb_00818,杨武之教授,爱国学者,LF,光线,HM,人体,1,具体→具体,0.2,0.0,0.4,0.15,0.0,0.0,0.0,0.0825,1,否,2,1
xb_00819,勇进渠,幸福渠,MR,机器,OB,物体,1,具体→具体,0.6,0.33,0.6,0.465,0.0,0.0,0.0,0.2557,2,否,2,2
xb_00820,党员,先进生产者,LF,光线,HM,人体,1,具体→具体,0.2,0.0,0.4,0.15,0.0,0.0,0.0,0.0825,1,否,1,1
xb_00821,大庆油田,伟大领袖毛主席提倡的一面红旗,AB,抽象,OB,物体,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00822,文章,客观事物的反映,LF,光线,SN,感知,4,抽象→具体,0.2,0.0,0.4,0.15,0.67,0.67,0.67,0.384,2,否,4,2
xb_00823,澳大利亚人民,勤劳智慧的人民,MR,机器,HM,人体,2,具体→抽象,0.6,0.33,0.6,0.465,0.33,0.33,0.33,0.4042,3,否,2,2
xb_00824,秦始皇,充满胜利信心的新兴地主阶级的总代表,TM,时间,HM,人体,2,具体→抽象,0.4,0.33,0.6,0.415,0.33,0.33,0.33,0.3768,2,否,2,2
xb_00825,最亲的人,伟大领袖毛主席,SC,社会,HM,人体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,1,3
xb_00826,孔子的世界观,主观唯心论,LF,光线,HM,人体,3,抽象→抽象,0.2,0.0,0.4,0.15,0.67,0.33,0.534,0.3228,2,否,3,2
xb_00827,马克思主义,科学真理,LF,光线,OB,物体,3,抽象→抽象,0.2,0.0,0.4,0.15,0.67,0.33,0.534,0.3228,2,否,3,2
xb_00828,历史,封建帝王秉承上天的意志而创造的,TM,时间,SP,空间,3,抽象→抽象,0.4,0.33,0.6,0.415,0.67,0.33,0.534,0.4686,3,否,3,3
xb_00829,革命文艺,团结人民，战胜敌人的有力武器,EV,事件,WR,战争,2,具体→抽象,0.4,0.33,0.6,0.415,0.33,0.33,0.33,0.3768,2,否,2,2
xb_00830,无产阶级,先进生产力的代表者,TM,时间,HM,人体,2,具体→抽象,0.4,0.33,0.6,0.415,0.33,0.33,0.33,0.3768,2,否,2,2
xb_00831,在联合国旗号下驻在那里的一切外国军队,紧张局势的根源,AB,抽象,LV,生命,4,抽象→具体,0.8,0.67,0.8,0.735,0.67,0.67,0.67,0.7058,4,否,4,5
xb_00832,我们人民解放军,伟大领袖毛主席统率下的工农子弟兵,LF,光线,HM,人体,1,具体→具体,0.2,0.0,0.4,0.15,0.0,0.0,0.0,0.0825,1,否,2,1
xb_00833,党的基本路线,伟大领袖毛主席根据马克思主义关于无产阶级专政的理论,SC,社会,OB,物体,3,抽象→抽象,0.8,0.67,0.8,0.735,0.67,0.33,0.534,0.6446,4,否,3,5
xb_00834,整个旧社会,反动剥削阶级作恶的乐园,LF,光线,OB,物体,2,具体→抽象,0.2,0.0,0.4,0.15,0.33,0.33,0.33,0.231,2,否,2,2
xb_00835,冈比亚人民,勤劳智慧的人民,MR,机器,HM,人体,2,具体→抽象,0.6,0.33,0.6,0.465,0.33,0.33,0.33,0.4042,3,否,2,2
xb_00836,货币,一般等价物,LF,光线,OB,物体,3,抽象→抽象,0.2,0.0,0.4,0.15,0.67,0.33,0.534,0.3228,2,否,3,2
xb_00837,我们两国人民,亲密战友和兄弟,SC,社会,WR,战争,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00838,无产阶级的干部,受党和阶级的委托,ST,结构,OB,物体,4,抽象→具体,0.8,0.67,0.8,0.735,0.67,0.67,0.67,0.7058,4,否,4,5
xb_00839,共和国总统,最高革命委员会的当然主席,AB,抽象,HM,人体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,1,3
xb_00840,皇帝,封建政权的总头目,SC,社会,HM,人体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00841,五星红旗,伟大领袖毛主席亲手升起来的,TM,时间,BD,建筑,1,具体→具体,0.4,0.33,0.6,0.415,0.0,0.0,0.0,0.2283,2,否,1,2
xb_00842,五星红旗,社会主义祖国的象征,MR,机器,OB,物体,4,抽象→具体,0.6,0.33,0.6,0.465,0.67,0.67,0.67,0.5573,3,否,4,4
xb_00843,党中央的英明决策,毛主席无产阶级革命路线的伟大胜利,ST,结构,TR,交通,3,抽象→抽象,0.8,0.67,0.8,0.735,0.67,0.33,0.534,0.6446,4,否,3,5
xb_00844,人民英雄纪念碑,伟大领袖毛主席亲手奠基建成的,TM,时间,BD,建筑,1,具体→具体,0.4,0.33,0.6,0.415,0.0,0.0,0.0,0.2283,2,否,2,2
xb_00845,人民英雄纪念碑,革命先烈用鲜血铸成的,TH,思维,BD,建筑,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00846,直接指挥的人民军队,无产阶级专政的坚强柱石,LF,光线,OB,物体,1,具体→具体,0.2,0.0,0.4,0.15,0.0,0.0,0.0,0.0825,1,否,2,1
xb_00847,我们建明公社的前身,伟大领袖毛主席表扬过的穷棒子社,TM,时间,OB,物体,1,具体→具体,0.4,0.33,0.6,0.415,0.0,0.0,0.0,0.2283,2,否,2,2
xb_00848,事实,毫无情面的东西,ST,结构,OB,物体,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00849,谣言制造者,反动阶级,AB,抽象,OB,物体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00850,中朝两国,兄弟邻邦,SC,社会,HM,人体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,1,3
xb_00851,两国人民,亲密战友,SC,社会,WR,战争,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00852,这,我们战胜党内资产阶级的无穷无尽的力量源泉,AB,抽象,NT,自然,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00853,我们的党,伟大领袖毛主席亲手缔造和培育的无产阶级政党,ST,结构,BD,建筑,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00854,他老人家,贫苦人民的大救星,TM,时间,NT,自然,1,具体→具体,0.4,0.33,0.6,0.415,0.0,0.0,0.0,0.2283,2,否,2,2
xb_00855,种族主义制度,深重灾难的根源,SC,社会,LV,生命,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00856,中国人民解放军和民兵,伟大领袖毛主席亲自缔造的人民武装,ST,结构,HM,人体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00857,华国锋同志,伟大领袖毛主席亲自选定的接班人,SC,社会,HM,人体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00858,毛主席,新中国的缔造者,TM,时间,HM,人体,1,具体→具体,0.4,0.33,0.6,0.415,0.0,0.0,0.0,0.2283,2,否,2,2
xb_00859,五六——一一○潜艇,伟大领袖毛主席生前视察过的光荣战艇,SC,社会,OB,物体,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,1,4
xb_00860,交城的山,光秃头,AB,抽象,BD,建筑,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00861,这种唯我主义,封建地主阶级和资产阶级的世界观,ST,结构,OB,物体,3,抽象→抽象,0.8,0.67,0.8,0.735,0.67,0.33,0.534,0.6446,4,否,3,5
xb_00862,大庆油田,伟大领袖毛主席亲自树立的一面红旗,SC,社会,OB,物体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00863,癌症,常见病,AB,抽象,OB,物体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00864,历史,个别英雄人物创造的,TM,时间,HM,人体,2,具体→抽象,0.4,0.33,0.6,0.415,0.33,0.33,0.33,0.3768,2,否,2,2
xb_00865,红太阳,伟大领袖毛主席的象征,SC,社会,OB,物体,4,抽象→具体,0.8,0.67,0.8,0.735,0.67,0.67,0.67,0.7058,4,否,4,5
xb_00866,毛泽东思想,普遍真理,TH,思维,OB,物体,3,抽象→抽象,0.8,0.67,0.8,0.735,0.67,0.33,0.534,0.6446,4,否,3,5
xb_00867,这些经验,伟大领袖和导师毛主席领导我们党在革命战争时期创造的,TM,时间,WR,战争,1,具体→具体,0.4,0.33,0.6,0.415,0.0,0.0,0.0,0.2283,2,否,2,2
xb_00868,华主席,伟大导师毛主席当之无愧的接班人,SC,社会,HM,人体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00869,集体生产劳动,干部和群众心连心的一根红线,SC,社会,BD,建筑,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00870,我们党和国家的干部,普通劳动者,ST,结构,HM,人体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00871,荔枝,名贵果品,MR,机器,FD,食物,1,具体→具体,0.6,0.33,0.6,0.465,0.0,0.0,0.0,0.2557,2,否,2,2
xb_00872,任人唯亲的资产阶级干部路线,涣散党,SC,社会,OB,物体,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00873,群众路线,伟大领袖和导师毛主席亲自为我们党树立的优良传统和作风,SC,社会,OB,物体,3,抽象→抽象,0.8,0.67,0.8,0.735,0.67,0.33,0.534,0.6446,4,否,3,5
xb_00874,四个现代化,伟大领袖毛主席提的,AB,抽象,OB,物体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00875,所有的共产党人应当采取的一个正确步骤,最大限度地利用美苏两个超级大国之间的矛盾,MR,机器,OB,物体,3,抽象→抽象,0.6,0.33,0.6,0.465,0.67,0.33,0.534,0.496,3,否,3,3
xb_00876,解放台湾统一祖国,伟大领袖毛主席的遗愿,SC,社会,OB,物体,3,抽象→抽象,0.8,0.67,0.8,0.735,0.67,0.33,0.534,0.6446,4,否,3,5
xb_00877,朝中两国人民,在反对共同敌人的长期斗争中并肩战斗的革命战友,SC,社会,WR,战争,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,1,4
xb_00878,中国人民,勤劳智慧的人民,MR,机器,HM,人体,2,具体→抽象,0.6,0.33,0.6,0.465,0.33,0.33,0.33,0.4042,3,否,2,2
xb_00879,尼中两国,友好邻邦,SC,社会,HM,人体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00880,中卢两国,友好国家,SC,社会,HM,人体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,1,3
xb_00881,母亲,贫苦农民家里的人,AB,抽象,HM,人体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00882,湖羊,稀有品种,MR,机器,OB,物体,1,具体→具体,0.6,0.33,0.6,0.465,0.0,0.0,0.0,0.2557,2,否,2,2
xb_00883,议会,最高权力机构,SC,社会,HM,人体,4,抽象→具体,0.8,0.67,0.8,0.735,0.67,0.67,0.67,0.7058,4,否,4,5
xb_00884,中泰两国,友好邻邦,SC,社会,HM,人体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,1,3
xb_00885,煤矿工人,笨重体力劳动,LF,光线,HM,人体,4,抽象→具体,0.2,0.0,0.4,0.15,0.67,0.67,0.67,0.384,2,否,4,2
xb_00886,巴、中友谊,友好邻邦和互相合作的光辉典范,ST,结构,OB,物体,3,抽象→抽象,0.8,0.67,0.8,0.735,0.67,0.33,0.534,0.6446,4,否,3,5
xb_00887,共产党员,特殊材料制成的,MR,机器,OB,物体,1,具体→具体,0.6,0.33,0.6,0.465,0.0,0.0,0.0,0.2557,2,否,2,2
xb_00888,我们两国,友好邻国,SC,社会,HM,人体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00889,鸡心枣,最好品种之一,MR,机器,OB,物体,1,具体→具体,0.6,0.33,0.6,0.465,0.0,0.0,0.0,0.2557,2,否,1,2
xb_00890,先进生产者,先进生产力的优秀代表,EV,事件,HM,人体,2,具体→抽象,0.4,0.33,0.6,0.415,0.33,0.33,0.33,0.3768,2,否,2,2
xb_00891,你们,工人阶级,LF,光线,HM,人体,4,抽象→具体,0.2,0.0,0.4,0.15,0.67,0.67,0.67,0.384,2,否,4,2
xb_00892,这次会议,空前规模的少数民族作家的盛会,ST,结构,HM,人体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00893,马克思的历史唯物主义,科学思想中的最大成果,MR,机器,OB,物体,3,抽象→抽象,0.6,0.33,0.6,0.465,0.67,0.33,0.534,0.496,3,否,3,3
xb_00894,中华民族,优秀民族,SC,社会,HM,人体,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00895,自行车,紧俏商品,AB,抽象,OB,物体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00896,粗纺呢绒在国内市场,紧缺商品,AB,抽象,OB,物体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00897,特权,封建遗毒,ST,结构,OB,物体,3,抽象→抽象,0.8,0.67,0.8,0.735,0.67,0.33,0.534,0.6446,4,否,3,5
xb_00898,埃—以条约,全面和平的开端,ST,结构,OB,物体,3,抽象→抽象,0.8,0.67,0.8,0.735,0.67,0.33,0.534,0.6446,4,否,3,5
xb_00899,中孟两国,友好近邻,SC,社会,HM,人体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00900,国际会议,最好讲坛,SC,社会,OB,物体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00901,人民解放军,伟大祖国的钢铁长城,LF,光线,OB,物体,1,具体→具体,0.2,0.0,0.4,0.15,0.0,0.0,0.0,0.0825,1,否,1,1
xb_00902,这杆秤,公平秤,ST,结构,OB,物体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00903,中马两国,友好邻邦,SC,社会,HM,人体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00904,祖国西北的大部分地区,干旱高原,AB,抽象,SP,空间,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00905,物质,认识的唯一源泉,SC,社会,NT,自然,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00906,书本知识,典型疾病的概括和综合,TH,思维,OB,物体,3,抽象→抽象,0.8,0.67,0.8,0.735,0.67,0.33,0.534,0.6446,4,否,3,5
xb_00907,宪法,根本大法,SC,社会,OB,物体,3,抽象→抽象,0.8,0.67,0.8,0.735,0.67,0.33,0.534,0.6446,4,否,3,5
xb_00908,共产主义,科学真理,ST,结构,OB,物体,3,抽象→抽象,0.8,0.67,0.8,0.735,0.67,0.33,0.534,0.6446,4,否,3,5
xb_00909,中津两国人民,亲密朋友,SC,社会,HM,人体,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00910,这种理想,最美好最高尚的理想,MR,机器,OB,物体,3,抽象→抽象,0.6,0.33,0.6,0.465,0.67,0.33,0.534,0.496,3,否,3,3
xb_00911,垦殖橡胶,科学事业,ST,结构,OB,物体,4,抽象→具体,0.8,0.67,0.8,0.735,0.67,0.67,0.67,0.7058,4,否,4,5
xb_00912,人民解放军,严明纪律的榜样,LF,光线,OB,物体,4,抽象→具体,0.2,0.0,0.4,0.15,0.67,0.67,0.67,0.384,2,否,4,2
xb_00913,马克思主义,科学,ST,结构,OB,物体,3,抽象→抽象,0.8,0.67,0.8,0.735,0.67,0.33,0.534,0.6446,4,否,3,5
xb_00914,木材,紧缺物资,AB,抽象,OB,物体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00915,绿草和树木,固定太阳能的巨大工厂,AB,抽象,OB,物体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00916,主权,最高权威,SC,社会,FC,力量,3,抽象→抽象,0.8,0.67,0.8,0.735,0.67,0.33,0.534,0.6446,4,否,3,5
xb_00917,我国工人阶级,先进生产力和先进生产关系的代表,SC,社会,HM,人体,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00918,保护文物,爱国行为,ST,结构,HM,人体,4,抽象→具体,0.8,0.67,0.8,0.735,0.67,0.67,0.67,0.7058,4,否,4,5
xb_00919,马列主义,科学真理,ST,结构,OB,物体,3,抽象→抽象,0.8,0.67,0.8,0.735,0.67,0.33,0.534,0.6446,4,否,3,5
xb_00920,哥哥,诗人,LF,光线,HM,人体,1,具体→具体,0.2,0.0,0.4,0.15,0.0,0.0,0.0,0.0825,1,否,2,1
xb_00921,不同的历史条件,不同时代历史人物产生的育床,TM,时间,OB,物体,2,具体→抽象,0.4,0.33,0.6,0.415,0.33,0.33,0.33,0.3768,2,否,2,2
xb_00922,草,固定太阳能的巨大工厂,AB,抽象,OB,物体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,1,3
xb_00923,共产党员,特殊材料制成的,MR,机器,OB,物体,1,具体→具体,0.6,0.33,0.6,0.465,0.0,0.0,0.0,0.2557,2,否,2,2
xb_00924,人物性格,理想艺术表现的真正中心,SC,社会,SP,空间,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00925,戏曲现代戏,"""三并举""的内容之一",SC,社会,OB,物体,4,抽象→具体,0.8,0.67,0.8,0.735,0.67,0.67,0.67,0.7058,4,否,4,5
xb_00926,银杏树,长寿树,AB,抽象,LV,生命,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,1,3
xb_00927,鹅肥肝在国际市场,热门货,AB,抽象,OB,物体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00928,知识,力量,TH,思维,FC,力量,3,抽象→抽象,0.8,0.67,0.8,0.735,0.67,0.33,0.534,0.6446,4,否,3,5
xb_00929,科学技术,现实生产力,AB,抽象,OB,物体,3,抽象→抽象,0.8,0.67,0.8,0.735,0.67,0.33,0.534,0.6446,4,否,3,5
xb_00930,中朝两国,友好邻邦,SC,社会,HM,人体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00931,中朝友谊,两国人民在斗争中用鲜血凝成的,ST,结构,BD,建筑,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00932,药品,特殊商品,AB,抽象,OB,物体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00933,坎皮纳斯农艺研究所,科学城的又一重要象征,SC,社会,OB,物体,4,抽象→具体,0.8,0.67,0.8,0.735,0.67,0.67,0.67,0.7058,4,否,4,5
xb_00934,干出成效,统一思想的最好方法,AB,抽象,OB,物体,3,抽象→抽象,0.8,0.67,0.8,0.735,0.67,0.33,0.534,0.6446,4,否,3,5
xb_00935,家谱,封建宗法社会的产物,ST,结构,OB,物体,4,抽象→具体,0.8,0.67,0.8,0.735,0.67,0.67,0.67,0.7058,4,否,4,5
xb_00936,话,开心钥匙,AB,抽象,OB,物体,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00937,共产党员,特殊材料制成的,MR,机器,OB,物体,1,具体→具体,0.6,0.33,0.6,0.465,0.0,0.0,0.0,0.2557,2,否,1,2
xb_00938,党员,知心人,SC,社会,HM,人体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00939,土地,宝贵资源,MR,机器,EC,经济,4,抽象→具体,0.6,0.33,0.6,0.465,0.67,0.67,0.67,0.5573,3,否,4,4
xb_00940,全国抵抗委员会,最高权力机构,SC,社会,HM,人体,4,抽象→具体,0.8,0.67,0.8,0.735,0.67,0.67,0.67,0.7058,4,否,4,5
xb_00941,广交朋友,基本外交政策,AB,抽象,OB,物体,4,抽象→具体,0.8,0.67,0.8,0.735,0.67,0.67,0.67,0.7058,4,否,4,5
xb_00942,中药,特殊商品,AB,抽象,OB,物体,4,抽象→具体,0.8,0.67,0.8,0.735,0.67,0.67,0.67,0.7058,4,否,4,5
xb_00943,科学,直接生产力,AB,抽象,OB,物体,3,抽象→抽象,0.8,0.67,0.8,0.735,0.67,0.33,0.534,0.6446,4,否,3,5
xb_00944,液化气,热门货,AB,抽象,OB,物体,4,抽象→具体,0.8,0.67,0.8,0.735,0.67,0.67,0.67,0.7058,4,否,4,5
xb_00945,妒忌这东西,封建思想遗留下来的一个肿瘤,ST,结构,OB,物体,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00946,中尼两国,友好邻邦,SC,社会,HM,人体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00947,马克思主义哲学原理,最高层次的抽象,AB,抽象,SP,空间,3,抽象→抽象,0.8,0.67,0.8,0.735,0.67,0.33,0.534,0.6446,4,否,3,5
xb_00948,培养第三梯队,重要决策,AB,抽象,OB,物体,4,抽象→具体,0.8,0.67,0.8,0.735,0.67,0.67,0.67,0.7058,4,否,4,5
xb_00949,宗教,无情世界的感情,LF,光线,OB,物体,3,抽象→抽象,0.2,0.0,0.4,0.15,0.67,0.33,0.534,0.3228,2,否,3,2
xb_00950,恩贾梅纳政府,合法政府,SC,社会,HM,人体,4,抽象→具体,0.8,0.67,0.8,0.735,0.67,0.67,0.67,0.7058,4,否,4,5
xb_00951,政协委员,团结对象,EV,事件,OB,物体,4,抽象→具体,0.4,0.33,0.6,0.415,0.67,0.67,0.67,0.5298,3,否,4,3
xb_00952,本质,平等主体之间有关权利义务的争讼,LF,光线,OB,物体,3,抽象→抽象,0.2,0.0,0.4,0.15,0.67,0.33,0.534,0.3228,2,否,3,2
xb_00953,党报党刊,重要精神食粮,SC,社会,FD,食物,2,具体→抽象,0.8,0.67,0.8,0.735,0.33,0.33,0.33,0.5528,3,否,2,4
xb_00954,调查质量,人口抽样调查的生命,AB,抽象,LV,生命,3,抽象→抽象,0.8,0.67,0.8,0.735,0.67,0.33,0.534,0.6446,4,否,3,5
xb_00955,制度,客观规律的科学总结,SC,社会,OB,物体,3,抽象→抽象,0.8,0.67,0.8,0.735,0.67,0.33,0.534,0.6446,4,否,3,5
xb_00956,生猪,鲜活商品,AB,抽象,OB,物体,4,抽象→具体,0.8,0.67,0.8,0.735,0.67,0.67,0.67,0.7058,4,否,4,5
xb_00957,体育人才,特殊人才,ST,结构,HM,人体,4,抽象→具体,0.8,0.67,0.8,0.735,0.67,0.67,0.67,0.7058,4,否,4,5
xb_00958,土地,紧缺资源,MR,机器,EC,经济,4,抽象→具体,0.6,0.33,0.6,0.465,0.67,0.67,0.67,0.5573,3,否,4,4
xb_00959,第三世界,最大和平力量,SC,社会,FC,力量,3,抽象→抽象,0.8,0.67,0.8,0.735,0.67,0.33,0.534,0.6446,4,否,3,5
xb_00960,美中两国,友好国家,SC,社会,HM,人体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00961,劳动成本,重要因素,AB,抽象,OB,物体,3,抽象→抽象,0.8,0.67,0.8,0.735,0.67,0.33,0.534,0.6446,4,否,3,5
xb_00962,高级专家协会,高级人才汇集的人才库,SC,社会,HM,人体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00963,乾隆的政策,封建小农社会的产物,SC,社会,OB,物体,3,抽象→抽象,0.8,0.67,0.8,0.735,0.67,0.33,0.534,0.6446,4,否,3,5
xb_00964,经济指标高低,重要标准,AB,抽象,OB,物体,3,抽象→抽象,0.8,0.67,0.8,0.735,0.67,0.33,0.534,0.6446,4,否,3,5
xb_00965,中朝两国,亲密邻邦,SC,社会,HM,人体,1,具体→具体,0.8,0.67,0.8,0.735,0.0,0.0,0.0,0.4043,3,否,2,3
xb_00966,决策,行动的先导,AB,抽象,TR,交通,3,抽象→抽象,0.8,0.67,0.8,0.735,0.67,0.33,0.534,0.6446,4,否,3,5
xb_00967,金融组织的新形式,商品经济发展的产物,SC,社会,OB,物体,3,抽象→抽象,0.8,0.67,0.8,0.735,0.67,0.33,0.534,0.6446,4,否,3,5
xb_00968,军人,普通老百姓穿上军装的人,LF,光线,HM,人体,1,具体→具体,0.2,0.0,0.4,0.15,0.0,0.0,0.0,0.0825,1,否,2,1
xb_00969,工会和企业界三方协议,稳定经济的关键,AB,抽象,OB,物体,3,抽象→抽象,0.8,0.67,0.8,0.735,0.67,0.33,0.534,0.6446,4,否,3,5
xb_00970,这种情况,发达国家工业化所造成的,ST,结构,OB,物体,4,抽象→具体,0.8,0.67,0.8,0.735,0.67,0.67,0.67,0.7058,4,否,4,5
xb_00971,中泰友好关系,不同制度国家合作典范,SC,社会,OB,物体,3,抽象→抽象,0.8,0.67,0.8,0.735,0.67,0.33,0.534,0.6446,4,否,3,5
xb_00972,农业,安定天下的产业,SC,社会,EC,经济,4,抽象→具体,0.8,0.67,0.8,0.735,0.67,0.67,0.67,0.7058,4,否,4,5
