id,id,construction_type,subject,copula,predicate,source_domain,target_domain,mapping_direction,metaphor_type,thematic_role,copula_function,constructional_meaning,cognitive_accessibility,mapping_basis,conceptual_complexity,embodied_experience,cognitive_reference_point,entailment_richness,prototype_distance,link_type,inter_construction_links,systematicity,conventionality,function_in_network,copula_type,holistic_imagery,relational_thinking,metaphor_novelty,family_marker,inheritance_relation,original_id,full_sentence,construction,time,source,genre,mapping_content,entailment,inheritance_links_detail,polysemy_links_detail,subpart_links_detail,cognitive_reference_point_description,pragmatic_function,context_sensitivity,discourse_type,ca_level,md_label,construction_type_12,ca_code,md_code,type_code
xb_00923,xb_00923,copular_metaphor,共产党员,是,特殊材料制成的,OB,MR,1,ontological,1,equative,本条未作扩展构式义标注；核心统计仅使用已编码字段,4,similarity,2,0.75,基于源域的认知参照,1.0,2,1,"材料, 特殊, 品质, 党员, 制成, [品质隐喻构式群], [党员话语构式群]",0.85,0.85,2,standard,1.6,1.6,0.5,,"继承自""X是Y""基本判断构式",128972,"许多人向往这个党。正如斯大林所说：""共产党员是特殊材料制成的""。它的标准很高，一般人不够这个标准，是不能入党的。",共产党员是特殊材料制成的,1983,人民日报,新闻,,,,,,,categorization,0.3,新闻,高,具具,高_具具,3,1,9
xb_00924,xb_00924,copular_metaphor,人物性格,是,理想艺术表现的真正中心,SP,SC,2,ontological,1,equative,本条未作扩展构式义标注；核心统计仅使用已编码字段,3,similarity,2,0.75,基于源域的认知参照,1.0,2,1,"中心, 艺术, 性格, 人物, 表现, [中心隐喻构式群], [艺术话语构式群]",0.85,0.85,2,standard,1.5,1.6,0.5,,"继承自""X是Y""基本判断构式",128983,"电视剧《泉水叮咚》富有浓厚的生活气息，人物鲜明、真实，情节生动、朴素，自然、顺畅地刻画了一群诚实、坚强的农村妇女形象。车尔尼雪夫斯基说：""人物性格是理想艺术表现的真正中心""。该剧做到这点",人物性格是理想艺术表现的真正中心,1983,人民日报,新闻,,,,,,,categorization,0.3,新闻,中,具抽,中_具抽,2,2,6
xb_00925,xb_00925,copular_metaphor,戏曲现代戏,是,"""三并举""的内容之一",OB,SC,4,ontological,1,equative,本条未作扩展构式义标注；核心统计仅使用已编码字段,3,similarity,4,0.5,基于源域的认知参照,0.75,2,1,"政策, 内容, 文艺, 戏曲, 方针, [政策隐喻构式群], [文艺话语构式群]",0.85,0.85,2,standard,1.4,1.6,0.5,,"继承自""X是Y""基本判断构式",128996,"近年来，山西为了落实""三并举""的方针，采取了一系列有力措施，推动了戏曲现代戏的发展。戏曲现代戏是""三并举""的内容之一，也是较难搞的。","戏曲现代戏是""三并举""的内容之一",1983,人民日报,新闻,,,,,,,categorization,0.3,新闻,中,抽具,中_抽具,2,4,8
xb_00926,xb_00926,copular_metaphor,银杏树,是,长寿树,LV,AB,1,ontological,1,equative,本条未作扩展构式义标注；核心统计仅使用已编码字段,4,similarity,1,0.5,基于源域的认知参照,0.75,1,1,"长寿, 树木, 特性, 生命, 自然, [生命隐喻构式群], [自然话语构式群]",0.9,0.95,1,standard,1.4,1.4,0.5,,"继承自""X是Y""基本判断构式",129008,银杏树是长寿树，在我国有的已活了二千五百年至三千年，但仍然枝繁叶茂，生机盎然。,银杏树是长寿树,1983,人民日报,新闻,,,,,,,categorization,0.3,新闻,高,具具,高_具具,3,1,9
xb_00927,xb_00927,copular_metaphor,鹅肥肝在国际市场,是,热门货,OB,AB,1,ontological,1,equative,本条未作扩展构式义标注；核心统计仅使用已编码字段,4,similarity,2,0.5,基于源域的认知参照,0.75,1,1,"热门, 商品, 市场, 需求, 价值, [商品隐喻构式群], [市场话语构式群]",0.9,0.95,1,standard,1.3,1.4,0.5,,"继承自""X是Y""基本判断构式",129041,鹅肥肝在国际市场是热门货，价格昂贵。黑龙江省饲养了不少鹅。如能学会生产鹅肥肝，就多了一条发展的道路。,鹅肥肝在国际市场是热门货,1983,人民日报,新闻,,,,,,,categorization,0.3,新闻,高,具具,高_具具,3,1,9
xb_00928,xb_00928,copular_metaphor,知识,就是,力量,FC,TH,3,ontological,1,equative,本条未作扩展构式义标注；核心统计仅使用已编码字段,3,similarity,3,1.0,基于源域的认知参照,1.0,1,1,"力量, 知识, 哲学, 真理, 观念, [力量隐喻构式群], [哲学话语构式群]",0.95,0.95,2,standard,1.5,1.7,0.5,,"继承自""X是Y""基本判断构式",129062,花钱没有经济效益的非生产部门的陈腐观念。要树立知识就是力量、科学技术是现实生产力的观念。从长远来说，教育事业是一项决定国家命运、民族前途的生产,知识就是力量,1984,人民日报,新闻,,,,,,,categorization,0.3,新闻,中,抽抽,中_抽抽,2,3,7
xb_00929,xb_00929,copular_metaphor,科学技术,是,现实生产力,OB,AB,3,ontological,1,equative,本条未作扩展构式义标注；核心统计仅使用已编码字段,3,similarity,3,1.0,基于源域的认知参照,1.0,2,1,"生产力, 科学, 技术, 力量, 观念, [生产力隐喻构式群], [哲学话语构式群]",0.95,0.95,2,standard,1.5,1.7,0.5,,"继承自""X是Y""基本判断构式",129063,花钱没有经济效益的非生产部门的陈腐观念。要树立知识就是力量、科学技术是现实生产力的观念。从长远来说，教育事业是一项决定国家命运、民族前途的生产,科学技术是现实生产力,1984,人民日报,新闻,,,,,,,categorization,0.3,新闻,中,抽抽,中_抽抽,2,3,7
xb_00930,xb_00930,copular_metaphor,中朝两国,是,友好邻邦,HM,SC,1,ontological,1,equative,本条未作扩展构式义标注；核心统计仅使用已编码字段,4,similarity,2,0.5,基于源域的认知参照,0.75,1,1,"邻邦, 友好, 外交, 关系, 国家, [邻邦隐喻构式群], [外交话语构式群]",0.95,0.95,2,standard,1.5,1.6,0.5,,"继承自""X是Y""基本判断构式",129066,"见在十分亲切的气氛中进行。邓颖超对代表团团长吕燕九说：""中朝两国是友好邻邦，我们是亲戚。中朝友谊是两国人民在斗争中用鲜血凝成的。""吕燕九",中朝两国是友好邻邦,1984,人民日报,新闻,,,,,,,categorization,0.3,新闻,高,具具,高_具具,3,1,9
xb_00931,xb_00931,copular_metaphor,中朝友谊,是,两国人民在斗争中用鲜血凝成的,BD,ST,2,ontological,1,equative,本条未作扩展构式义标注；核心统计仅使用已编码字段,4,similarity,2,1.0,基于源域的认知参照,1.0,2,1,"凝成, 鲜血, 友谊, 斗争, 外交, [凝结隐喻构式群], [外交话语构式群]",0.9,0.85,2,standard,1.7,1.7,0.5,,"继承自""X是Y""基本判断构式",129068,"见在十分亲切的气氛中进行。邓颖超对代表团团长吕燕九说：""中朝两国是友好邻邦，我们是亲戚。中朝友谊是两国人民在斗争中用鲜血凝成的。""吕燕九",中朝友谊是两国人民在斗争中用鲜血凝成的,1984,人民日报,新闻,,,,,,,categorization,0.3,新闻,高,具抽,高_具抽,3,2,10
xb_00932,xb_00932,copular_metaphor,药品,是,特殊商品,OB,AB,1,ontological,1,equative,本条未作扩展构式义标注；核心统计仅使用已编码字段,4,similarity,2,0.5,基于源域的认知参照,0.75,1,1,"商品, 特殊, 药品, 市场, 属性, [商品隐喻构式群], [市场话语构式群]",0.95,0.95,1,standard,1.4,1.5,0.5,,"继承自""X是Y""基本判断构式",129072,二十四万九千二百七十一盒假药，金额达三十三万四千零二十三元。药品是特殊商品，是防病治病，保护人民群众身体健康的，应当严加管理。不久前，全,药品是特殊商品,1984,人民日报,新闻,,,,,,,categorization,0.3,新闻,高,具具,高_具具,3,1,9
xb_00933,xb_00933,copular_metaphor,坎皮纳斯农艺研究所,是,科学城的又一重要象征,OB,SC,4,ontological,1,equative,本条未作扩展构式义标注；核心统计仅使用已编码字段,3,similarity,4,0.75,基于源域的认知参照,1.0,2,1,"象征, 科学, 地位, 代表, 机构, [象征隐喻构式群], [科学话语构式群]",0.9,0.95,2,standard,1.5,1.6,0.5,,"继承自""X是Y""基本判断构式",129074,的早期发现等方面的探索和研究中也取得了较大进展。坎皮纳斯农艺研究所是科学城的又一重要象征。这个机构有近百年历史。这里集中了二百五十名高级,坎皮纳斯农艺研究所是科学城的又一重要象征,1984,人民日报,新闻,,,,,,,categorization,0.3,新闻,中,抽具,中_抽具,2,4,8
xb_00934,xb_00934,copular_metaphor,干出成效,是,统一思想的最好方法,OB,AB,3,ontological,1,equative,本条未作扩展构式义标注；核心统计仅使用已编码字段,3,similarity,3,0.75,基于源域的认知参照,1.0,2,1,"方法, 统一, 思想, 成效, 工作, [方法隐喻构式群], [工作话语构式群]",0.9,0.85,2,standard,1.5,1.7,0.5,,"继承自""X是Y""基本判断构式",129077,"，看笑话，不行。当此时机，一日千金，我们必须抓紧时间干，干出成效是统一思想的最好方法。""调兵遣将尽管卫生专家们磨破了嘴皮子，写秃了笔头子",干出成效是统一思想的最好方法,1984,人民日报,新闻,,,,,,,categorization,0.3,新闻,中,抽抽,中_抽抽,2,3,7
xb_00935,xb_00935,copular_metaphor,家谱,是,封建宗法社会的产物,OB,ST,4,ontological,1,equative,本条未作扩展构式义标注；核心统计仅使用已编码字段,3,similarity,4,0.75,基于源域的认知参照,1.0,2,1,"产物, 封建, 社会, 历史, 文化, [产物隐喻构式群], [历史话语构式群]",0.9,0.95,2,standard,1.5,1.7,0.5,,"继承自""X是Y""基本判断构式",129080,家谱家谱崔宗之家谱是封建宗法社会的产物，过去曾大量地发现过，但不为人们所重，藏书家也不收藏,家谱是封建宗法社会的产物,1985,人民日报,新闻,,,,,,,categorization,0.3,新闻,中,抽具,中_抽具,2,4,8
xb_00936,xb_00936,copular_metaphor,话,是,开心钥匙,OB,AB,2,ontological,1,equative,本条未作扩展构式义标注；核心统计仅使用已编码字段,4,similarity,2,0.75,基于源域的认知参照,1.0,2,1,"钥匙, 开心, 工具, 功能, 话语, [工具隐喻构式群], [话语构式群]",0.85,0.85,2,standard,1.6,1.5,0.5,,"继承自""X是Y""基本判断构式",129089,"不能跟别人攀比。我们的办法就是努力拚搏，把经济效益搞上去！""话是开心钥匙，行动更有说服力。年终奖，总厂低于分厂，干部低于职工。李学武本",话是开心钥匙,1985,人民日报,新闻,,,,,,,categorization,0.3,新闻,高,具抽,高_具抽,3,2,10
xb_00937,xb_00937,copular_metaphor,共产党员,是,特殊材料制成的,OB,MR,1,ontological,1,equative,本条未作扩展构式义标注；核心统计仅使用已编码字段,4,similarity,1,0.75,基于源域的认知参照,1.0,2,1,"材料, 特殊, 品质, 党员, 制成, [品质隐喻构式群], [党员话语构式群]",0.85,0.85,2,standard,1.6,1.6,0.5,,"继承自""X是Y""基本判断构式",129109,"""私热""了，为""公""的""热""所剩无几了，不是""余热""是什么？共产党员是特殊材料制成的。用这种材料装配成热机，绝对不会只造""余热""。果真造""余",共产党员是特殊材料制成的,1985,人民日报,新闻,,,,,,,categorization,0.3,新闻,高,具具,高_具具,3,1,9
xb_00938,xb_00938,copular_metaphor,党员,是,知心人,HM,SC,1,ontological,1,equative,本条未作扩展构式义标注；核心统计仅使用已编码字段,4,similarity,2,0.75,基于源域的认知参照,1.0,2,1,"知心, 心理, 亲密, 党员, 作用, [心理隐喻构式群], [党员话语构式群]",0.85,0.85,2,standard,1.6,1.7,0.5,,"继承自""X是Y""基本判断构式",129156,"群众称党员是知心人。群众称：党员是知心人。""穷庙不烧香，家里有困难，都来找张秀英。""张秀英哪有三头六臂？",党员是知心人,1985,人民日报,新闻,,,,,,,categorization,0.3,新闻,高,具具,高_具具,3,1,9
xb_00939,xb_00939,copular_metaphor,土地,是,宝贵资源,EC,MR,4,ontological,1,equative,本条未作扩展构式义标注；核心统计仅使用已编码字段,3,similarity,4,0.75,基于源域的认知参照,0.75,1,1,"资源, 宝贵, 价值, 土地, 财富, [资源隐喻构式群], [土地话语构式群]",0.95,0.95,1,standard,1.5,1.5,0.5,,"继承自""X是Y""基本判断构式",129158,确保国家耕地总量的动态平衡。土地是宝贵资源。五千年中华文明不断发展前进，很重要的一条，就是数千年来一直保持一个,土地是宝贵资源,1997,人民日报,新闻,,,,,,,categorization,0.3,新闻,中,抽具,中_抽具,2,4,8
xb_00940,xb_00940,copular_metaphor,全国抵抗委员会,是,最高权力机构,HM,SC,4,ontological,1,equative,本条未作扩展构式义标注；核心统计仅使用已编码字段,3,similarity,4,0.5,基于源域的认知参照,0.75,1,1,"权力, 机构, 最高, 地位, 委员会, [权力隐喻构式群], [政治话语构式群]",0.95,0.95,1,standard,1.4,1.6,0.5,,"继承自""X是Y""基本判断构式",129160,四项基本原则。斯里兰卡独立以来政权虽然几度易主，但始终保持政治稳定、社会进步的特点。全国抵抗委员会是最高权力机构，受工会联盟领导。斯第一,全国抵抗委员会是最高权力机构,1985,人民日报,新闻,,,,,,,categorization,0.3,新闻,中,抽具,中_抽具,2,4,8
xb_00941,xb_00941,copular_metaphor,广交朋友,是,基本外交政策,OB,AB,4,ontological,1,equative,本条未作扩展构式义标注；核心统计仅使用已编码字段,3,similarity,4,0.75,基于源域的认知参照,0.75,1,1,"政策, 外交, 朋友, 基本, 定位, [政策隐喻构式群], [外交话语构式群]",0.95,0.95,1,standard,1.5,1.7,0.5,,"继承自""X是Y""基本判断构式",129163,、侨、台各界友好人士、各国驻华外交使节和夫人等三千多人。周总理在讲话中说：广交朋友是基本外交政策。,广交朋友是基本外交政策,1973,人民日报,新闻,,,,,,,categorization,0.3,新闻,中,抽具,中_抽具,2,4,8
xb_00942,xb_00942,copular_metaphor,中药,是,特殊商品,OB,AB,4,ontological,1,equative,本条未作扩展构式义标注；核心统计仅使用已编码字段,3,similarity,4,0.75,基于源域的认知参照,0.75,1,1,"商品, 特殊, 中药, 属性, 市场, [商品隐喻构式群], [医药话语构式群]",0.95,0.95,1,standard,1.4,1.5,0.5,,"继承自""X是Y""基本判断构式",129173,主办此事外，为此而专门发行股票，则是首次。开办中药股份公司，主要特点是：中药是特殊商品，需要有大专院校中,中药是特殊商品,1984,人民日报,新闻,,,,,,,categorization,0.3,新闻,中,抽具,中_抽具,2,4,8
xb_00943,xb_00943,copular_metaphor,科学,是,直接生产力,OB,AB,3,ontological,1,equative,本条未作扩展构式义标注；核心统计仅使用已编码字段,3,similarity,3,0.75,基于源域的认知参照,1.0,1,1,"生产力, 科学, 直接, 性质, 邓小平理论, [生产力隐喻构式群], [哲学话语构式群]",0.95,0.95,1,standard,1.4,1.6,0.5,,"继承自""X是Y""基本判断构式",129183,全体教职员工要更加重视教育事业。科学是直接生产力，学校是一个特殊的精神生产单位，要自觉地树立教书育人、管理育人、服务育人的思想。,科学是直接生产力,1985,人民日报,新闻,,,,,,,categorization,0.3,新闻,中,抽抽,中_抽抽,2,3,7
xb_00944,xb_00944,copular_metaphor,液化气,是,热门货,OB,AB,4,ontological,1,equative,本条未作扩展构式义标注；核心统计仅使用已编码字段,3,similarity,4,0.75,基于源域的认知参照,0.75,2,1,"热门, 商品, 市场, 液化气, 需求, [商品隐喻构式群], [市场话语构式群]",0.9,0.85,2,standard,1.5,1.5,0.5,,"继承自""X是Y""基本判断构式",129187,炉灶走进了万户千家。仅仅一年多时间，液化气就从滞销变成了热门货，供不应求。液化气是热门货，家用电器,液化气是热门货,1984,人民日报,新闻,,,,,,,categorization,0.3,新闻,中,抽具,中_抽具,2,4,8
xb_00945,xb_00945,copular_metaphor,妒忌这东西,是,封建思想遗留下来的一个肿瘤,OB,ST,2,ontological,1,equative,本条未作扩展构式义标注；核心统计仅使用已编码字段,3,similarity,2,0.75,基于源域的认知参照,1.0,3,1,"肿瘤, 病理, 封建, 思想, 妒忌, [病理隐喻构式群], [心理话语构式群]",0.85,0.75,3,standard,1.7,1.6,0.5,,"继承自""X是Y""基本判断构式",129191,就起作用，就行。说不定哪天主动脉破了，没法儿抢救，就完了。不过您别害怕。妒忌这东西是封建思想遗留下来的一个肿瘤，可以医治，不手术也能治好。,妒忌这东西是封建思想遗留下来的一个肿瘤,1984,人民日报,文学,,,,,,,categorization,0.3,文学,中,具抽,中_具抽,2,2,6
xb_00946,xb_00946,copular_metaphor,中尼两国,是,友好邻邦,HM,SC,1,ontological,1,equative,本条未作扩展构式义标注；核心统计仅使用已编码字段,4,similarity,2,0.75,基于源域的认知参照,0.75,1,1,"邻邦, 友好, 外交, 两国, 关系, [邻邦隐喻构式群], [外交话语构式群]",0.95,0.95,1,standard,1.5,1.7,0.5,,"继承自""X是Y""基本判断构式",129194,主义、社会主义两制并存，求同存异，和平共处，平等互利的五项原则是中尼友谊的政治基础。中尼两国是友好邻邦，友谊源远流长。,中尼两国是友好邻邦,1984,人民日报,新闻,,,,,,,categorization,0.3,新闻,高,具具,高_具具,3,1,9
xb_00947,xb_00947,copular_metaphor,马克思主义哲学原理,是,最高层次的抽象,SP,AB,3,ontological,1,equative,本条未作扩展构式义标注；核心统计仅使用已编码字段,4,similarity,3,0.5,基于源域的认知参照,1.0,2,1,"层次, 抽象, 哲学, 马克思主义, 理论, [层次隐喻构式群], [哲学话语构式群]",0.95,0.95,2,standard,1.4,1.7,0.5,,"继承自""X是Y""基本判断构式",129222,个人的经验来源于实践，它应该上升为理论才能指导今后的工作，搞好工作。马克思主义哲学原理是最高层次的抽象，是工作的根本指导思想。,马克思主义哲学原理是最高层次的抽象,1984,人民日报,新闻,,,,,,,categorization,0.3,新闻,高,抽抽,高_抽抽,3,3,11
xb_00948,xb_00948,copular_metaphor,培养第三梯队,是,重要决策,OB,AB,4,ontological,1,equative,本条未作扩展构式义标注；核心统计仅使用已编码字段,3,similarity,4,0.75,基于源域的认知参照,0.75,1,1,"决策, 重要, 政策, 培养, 梯队, [政策隐喻构式群], [干部话语构式群]",0.95,0.95,1,standard,1.5,1.7,0.5,,"继承自""X是Y""基本判断构式",129253,田纪云在湖南考察时强调处理好四个关系稳定粮食生产发展培养第三梯队是重要决策各地要切实抓好新华社长沙12月26日电　中共中央,培养第三梯队是重要决策,1986,人民日报,新闻,,,,,,,categorization,0.3,新闻,中,抽具,中_抽具,2,4,8
xb_00949,xb_00949,copular_metaphor,宗教,是,无情世界的感情,OB,LF,3,ontological,1,equative,本条未作扩展构式义标注；核心统计仅使用已编码字段,3,similarity,3,0.5,基于源域的认知参照,1.0,1,1,"感情, 无情, 世界, 宗教, 本质, [感情隐喻构式群], [哲学话语构式群]",0.95,0.95,1,standard,1.5,1.7,0.5,,"继承自""X是Y""基本判断构式",129263,"此残缺的人生。风摇塔铃，昼夜不息。陡然想起马克思的至理名言""宗教是无情世界的感情。""细细琢磨，领略到更深一层的理趣。一九八七·一泰",宗教是无情世界的感情,1987,人民日报,新闻,,,,,,,categorization,0.3,新闻,中,抽抽,中_抽抽,2,3,7
xb_00950,xb_00950,copular_metaphor,恩贾梅纳政府,是,合法政府,HM,SC,4,ontological,1,equative,本条未作扩展构式义标注；核心统计仅使用已编码字段,3,similarity,4,0.5,基于源域的认知参照,0.75,1,1,"合法, 政府, 地位, 政权, 承认, [合法性隐喻构式群], [政治话语构式群]",0.95,0.95,1,standard,1.4,1.6,0.5,,"继承自""X是Y""基本判断构式",129270,为这场冲突是乍得派别之间的争端，不承认以哈布雷为首的恩贾梅纳政府是合法政府。这家报纸据一则来自苏丹西部达尔福尔省的消息说，利比亚军队已在,恩贾梅纳政府是合法政府,1987,人民日报,新闻,,,,,,,categorization,0.3,新闻,中,抽具,中_抽具,2,4,8
xb_00951,xb_00951,copular_metaphor,政协委员,是,团结对象,OB,EV,4,ontological,1,equative,本条未作扩展构式义标注；核心统计仅使用已编码字段,3,similarity,4,0.75,基于源域的认知参照,0.75,1,1,"团结, 对象, 政协, 角色, 定位, [团结隐喻构式群], [政协话语构式群]",0.95,0.95,1,standard,1.5,1.7,0.5,,"继承自""X是Y""基本判断构式",129277,用深入人心，影响越来越大。过去有些人，特别是知识分子认为政协委员是团结对象。这几年政协积极参加了国家大政方针的协商讨论，政协的工作发挥了,政协委员是团结对象,1987,人民日报,新闻,,,,,,,categorization,0.3,新闻,中,抽具,中_抽具,2,4,8
xb_00952,xb_00952,copular_metaphor,本质,是,平等主体之间有关权利义务的争讼,OB,LF,3,ontological,1,equative,本条未作扩展构式义标注；核心统计仅使用已编码字段,3,similarity,3,0.5,基于源域的认知参照,1.0,2,1,"本质, 争讼, 权利, 义务, 法律, [本质隐喻构式群], [法律话语构式群]",0.95,0.95,2,standard,1.4,1.7,0.5,,"继承自""X是Y""基本判断构式",129280,服；而经济纠纷案件是双方当事人基于经济法律关系产生的纷争，其本质是平等主体之间有关权利义务的争讼。两者在案件性质、主体地位、案件提起、法,本质是平等主体之间有关权利义务的争讼,1987,人民日报,新闻,,,,,,,categorization,0.3,新闻,中,抽抽,中_抽抽,2,3,7
xb_00953,xb_00953,copular_metaphor,党报党刊,是,重要精神食粮,FD,SC,2,ontological,1,equative,本条未作扩展构式义标注；核心统计仅使用已编码字段,4,similarity,2,0.75,基于源域的认知参照,1.0,2,1,"食粮, 精神, 党报, 作用, 营养, [精神食粮隐喻构式群], [党报话语构式群]",0.9,0.85,2,standard,1.6,1.6,0.5,,"继承自""X是Y""基本判断构式",129281,"西订阅党报党刊尝到甜头鄂西订阅党报党刊尝到甜头本报讯　""党报党刊是重要精神食粮，我们当领导的要一手抓发行，一手抓运用，促进鄂西的两个文明",党报党刊是重要精神食粮,1987,人民日报,新闻,,,,,,,categorization,0.3,新闻,高,具抽,高_具抽,3,2,10
xb_00954,xb_00954,copular_metaphor,调查质量,是,人口抽样调查的生命,LV,AB,3,ontological,1,equative,本条未作扩展构式义标注；核心统计仅使用已编码字段,4,similarity,3,0.75,基于源域的认知参照,1.0,2,1,"生命, 质量, 调查, 重要性, 根本, [生命隐喻构式群], [调查话语构式群]",0.9,0.85,2,standard,1.6,1.6,0.5,,"继承自""X是Y""基本判断构式",129294,量？答：这个问题很重要。调查质量是人口抽样调查的生命，准确的数据是正确决策的基础。尤其是抽样调查，一个人的调查登记情况，代表着100多人,调查质量是人口抽样调查的生命,1987,人民日报,新闻,,,,,,,categorization,0.3,新闻,高,抽抽,高_抽抽,3,3,11
xb_00955,xb_00955,copular_metaphor,制度,是,客观规律的科学总结,OB,SC,3,ontological,1,equative,本条未作扩展构式义标注；核心统计仅使用已编码字段,3,similarity,3,0.5,基于源域的认知参照,1.0,2,1,"总结, 规律, 科学, 制度, 本质, [总结隐喻构式群], [哲学话语构式群]",0.95,0.95,2,standard,1.4,1.7,0.5,,"继承自""X是Y""基本判断构式",129301,位进行个别调整，并且要求纪检部门按照党委的要求进行严密控制。制度是客观规律的科学总结，只要我们勇于探索，勤于实践，必然会制定出更多的具有,制度是客观规律的科学总结,1987,人民日报,新闻,,,,,,,categorization,0.3,新闻,中,抽抽,中_抽抽,2,3,7
xb_00956,xb_00956,copular_metaphor,生猪,是,鲜活商品,OB,AB,4,ontological,1,equative,本条未作扩展构式义标注；核心统计仅使用已编码字段,3,similarity,4,0.75,基于源域的认知参照,0.75,1,1,"商品, 鲜活, 生猪, 属性, 流通, [商品隐喻构式群], [农产品话语构式群]",0.95,0.95,1,standard,1.4,1.5,0.5,,"继承自""X是Y""基本判断构式",129302,了事。为了押运这趟生猪，沿途我支付各种费用和罚款达80多元。生猪是鲜活商品，只有及时抵达，才能减少损耗。由于途中关卡太多，延误不少时间，,生猪是鲜活商品,1987,人民日报,新闻,,,,,,,categorization,0.3,新闻,中,抽具,中_抽具,2,4,8
xb_00957,xb_00957,copular_metaphor,体育人才,是,特殊人才,HM,ST,4,ontological,1,equative,本条未作扩展构式义标注；核心统计仅使用已编码字段,3,similarity,4,0.75,基于源域的认知参照,0.75,1,1,"人才, 特殊, 体育, 性质, 规律, [人才隐喻构式群], [体育话语构式群]",0.95,0.95,1,standard,1.4,1.5,0.5,,"继承自""X是Y""基本判断构式",129304,"个不行，那个不行，我们的人才就有可能白白浪费。必须看到，体育人才是特殊人才，有他的特殊规律，因此要进行人才交流。""国家体委副主任袁伟民在",体育人才是特殊人才,1987,人民日报,新闻,,,,,,,categorization,0.3,新闻,中,抽具,中_抽具,2,4,8
xb_00958,xb_00958,copular_metaphor,土地,是,紧缺资源,EC,MR,4,ontological,1,equative,本条未作扩展构式义标注；核心统计仅使用已编码字段,3,similarity,4,0.75,基于源域的认知参照,0.75,1,1,"资源, 紧缺, 土地, 价值, 制约, [资源隐喻构式群], [城市话语构式群]",0.95,0.95,1,standard,1.4,1.5,0.5,,"继承自""X是Y""基本判断构式",129353,中国城市发展史证明，城市最宝贵的是土地。土地是紧缺资源，随着城市不断向外延伸，土地资源越来越成为制约城市发展的关键因素。,土地是紧缺资源,1987,人民日报,新闻,,,,,,,categorization,0.3,新闻,中,抽具,中_抽具,2,4,8
xb_00959,xb_00959,copular_metaphor,第三世界,是,最大和平力量,FC,SC,3,ontological,1,equative,本条未作扩展构式义标注；核心统计仅使用已编码字段,4,similarity,3,0.75,基于源域的认知参照,1.0,1,1,"和平, 力量, 第三世界, 地位, 国际, [和平力量隐喻构式群], [国际政治话语构式群]",0.95,0.95,2,standard,1.5,1.6,0.5,,"继承自""X是Y""基本判断构式",129354,小平同志在会见布什时说，第三世界是最大的和平力量，有可能通过第三世界的努力，争取延长和平的时间。,第三世界是最大和平力量,1987,人民日报,新闻,,,,,,,categorization,0.3,新闻,高,抽抽,高_抽抽,3,3,11
xb_00960,xb_00960,copular_metaphor,美中两国,是,友好国家,HM,SC,1,ontological,1,equative,本条未作扩展构式义标注；核心统计仅使用已编码字段,4,similarity,2,0.75,基于源域的认知参照,0.75,1,1,"友好, 国家, 两国, 关系, 合作, [友好隐喻构式群], [外交话语构式群]",0.95,0.95,1,standard,1.4,1.6,0.5,,"继承自""X是Y""基本判断构式",129360,中国国家主席李先念在答谢宴会上说，美中两国是友好国家，近年来在各个领域的合作不断发展。,美中两国是友好国家,1987,人民日报,新闻,,,,,,,categorization,0.3,新闻,高,具具,高_具具,3,1,9
xb_00961,xb_00961,copular_metaphor,劳动成本,是,重要因素,OB,AB,3,ontological,1,equative,本条未作扩展构式义标注；核心统计仅使用已编码字段,3,similarity,3,0.75,基于源域的认知参照,0.75,1,1,"因素, 重要, 成本, 作用, 影响, [因素隐喻构式群], [经济话语构式群]",0.95,0.95,1,standard,1.3,1.5,0.5,,"继承自""X是Y""基本判断构式",129364,有人指出，劳动成本是选择生产地点的重要因素，哪里工资低、劳动力充足，就到哪里去设厂。,劳动成本是重要因素,1987,人民日报,新闻,,,,,,,categorization,0.3,新闻,中,抽抽,中_抽抽,2,3,7
xb_00962,xb_00962,copular_metaphor,高级专家协会,是,高级人才汇集的人才库,HM,SC,1,ontological,1,equative,本条未作扩展构式义标注；核心统计仅使用已编码字段,4,similarity,2,0.75,基于源域的认知参照,0.75,1,1,"人才库, 人才, 专家, 汇集, 组织, [人才隐喻构式群], [组织话语构式群]",0.95,0.95,1,standard,1.5,1.5,0.5,,"继承自""X是Y""基本判断构式",129376,高级专家协会是一个高级人才汇集的人才库，是党和国家的宝贵财富。,高级专家协会是高级人才汇集的人才库,1987,人民日报,新闻,,,,,,,categorization,0.3,新闻,高,具具,高_具具,3,1,9
xb_00963,xb_00963,copular_metaphor,乾隆的政策,是,封建小农社会的产物,OB,SC,3,ontological,1,equative,本条未作扩展构式义标注；核心统计仅使用已编码字段,3,similarity,3,0.5,基于源域的认知参照,1.0,2,1,"产物, 社会, 封建, 政策, 历史, [产物隐喻构式群], [历史话语构式群]",0.95,0.95,2,standard,1.4,1.7,0.5,,"继承自""X是Y""基本判断构式",129379,乾隆的政策是封建小农社会的产物，在当时的历史条件下有其必然性。,乾隆的政策是封建小农社会的产物,1987,人民日报,新闻,,,,,,,categorization,0.3,新闻,中,抽抽,中_抽抽,2,3,7
